NodeID,CogsnetVector
60,"0.553554,0.684363,0.696348,0.789430,0.644849,0.649851,0.725450,0.606603,0.700625,0.870168,0.832162,0.757467,0.940657,0.784126,0.857702,0.474300,0.000000,0.000000,0.000000,0.000000,0.000000,0.649024,0.578447,0.794026,0.401069,0.678689,0.608376,0.000000,0.620981,0.628100,0.000000,0.648130,0.849513,0.893365,0.390028,0.919454,0.482053,0.609496,0.702852,0.801870,0.796031,0.920097,0.880711,0.641973,0.847531,0.676272,0.000000,0.829095,0.574090,0.821997,0.837539,0.000000,0.804781,0.798649,0.558217,0.840797,0.585704,0.777909,0.677140,0.910498,0.000000,0.871306,0.000000,0.000000,0.000000,0.000000,0.000000,0.356682,0.810372,0.684328,0.605514,0.909439,0.680502,0.645523,0.000000,0.738169,0.834491,0.872755,0.651353,0.000000,0.710690,0.000000,0.776363,0.869049,0.000000,0.000000,0.000000,0.784382,0.649650,0.840031,0.000000"
57,"0.529542,0.722492,0.000000,0.708710,0.000000,0.766963,0.719414,0.752731,0.616411,0.921912,0.791775,0.869441,0.733802,0.813703,0.772337,0.822137,0.931258,0.940248,0.836405,0.908998,0.808608,0.591227,0.859403,0.912327,0.604852,0.725609,0.825656,0.885678,0.000000,0.785612,0.000000,0.681628,0.397249,0.562124,0.558645,0.397219,0.659486,0.854260,0.868559,0.000000,0.551796,0.000000,0.282466,0.364649,0.331062,0.287058,0.655999,0.550328,0.524017,0.588124,0.000000,0.715586,0.747140,0.873713,0.758155,0.726014,0.234199,0.560898,0.765993,0.701946,0.285267,0.716422,0.642053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.551818,0.000000,0.000000,0.648516,0.000000,0.889584,0.834223,0.632056,0.486337,0.492055,0.631197,0.692449,0.553595,0.000000,0.627052,0.708883,0.000000,0.000000,0.399422,0.711499,0.000000"
94,"0.444064,0.761857,0.881978,0.693219,0.000000,0.621672,0.397652,0.483405,0.568178,0.797932,0.743063,0.000000,0.658390,0.686165,0.776392,0.707423,0.000000,0.901233,0.544364,0.721308,0.729348,0.473199,0.415680,0.575383,0.532148,0.648748,0.397458,0.000000,0.000000,0.603024,0.000000,0.594341,0.872903,0.941001,0.000000,0.568502,0.691841,0.601225,0.430045,0.000000,0.519207,0.794758,0.000000,0.401420,0.498900,0.399107,0.656111,0.612689,0.434041,0.877056,0.000000,0.000000,0.802082,0.653723,0.000000,0.465343,0.894096,0.000000,0.000000,0.403742,0.403001,0.493029,0.000000,0.600081,0.952557,0.000000,0.920447,0.000000,0.219480,0.597467,0.636905,0.823419,0.485496,0.661177,0.000000,0.220309,0.374556,0.593959,0.000000,0.624009,0.510497,0.398521,0.555195,0.855325,0.624780,0.700120,0.000000,0.000000,0.121556,0.330327,0.646330"
77,"0.666595,0.689950,0.670517,0.829119,0.765954,0.795949,0.605324,0.892367,0.788237,0.842643,0.742627,0.617659,0.772875,0.817547,0.800076,0.701795,0.750049,0.681798,0.000000,0.854679,0.885826,0.860230,0.963338,0.829581,0.684576,0.648473,0.440310,0.779739,0.000000,0.512631,0.000000,0.710137,0.769352,0.876591,0.612279,0.804571,0.572271,0.000000,0.889704,0.000000,0.410653,0.845519,0.683815,0.000000,0.556413,0.622684,0.000000,0.000000,0.609485,0.446916,0.000000,0.534270,0.517697,0.000000,0.647422,0.856383,0.804042,0.000000,0.000000,0.730494,0.637197,0.874019,0.717999,0.914347,0.744455,0.000000,0.000000,0.301984,0.680601,0.772146,0.838001,0.834174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.591969,0.000000,0.860106,0.858575,0.792971,0.896403,0.866462,0.979846,0.590747,0.520649,0.649525,0.839564,0.877756"
162,"0.781214,0.702305,0.909762,0.818188,0.854388,0.862335,0.616610,0.885519,0.649813,0.838513,0.769829,0.000000,0.813859,0.735918,0.727643,0.719336,0.750807,0.000000,0.000000,0.646145,0.781005,0.615719,0.435547,0.000000,0.824563,0.650014,0.000000,0.000000,0.483310,0.497710,0.000000,0.574562,0.000000,0.548225,0.837011,0.908153,0.641301,0.429485,0.000000,0.000000,0.694515,0.000000,0.645755,0.000000,0.000000,0.449914,0.000000,0.263133,0.719863,0.681704,0.602717,0.000000,0.649269,0.000000,0.759742,0.699504,0.774461,0.864729,0.000000,0.667759,0.405255,0.737902,0.589767,0.000000,0.975644,0.717504,0.699884,0.473797,0.837004,0.000000,0.635258,0.446231,0.516020,0.378308,0.000000,0.000000,0.000000,0.510907,0.629573,0.702008,0.433988,0.000000,0.468167,0.894609,0.916280,0.889666,0.870802,0.439126,0.399422,0.847898,0.000000"
142,"0.687504,0.641151,0.000000,0.693395,0.000000,0.743156,0.397652,0.690442,0.568178,0.618900,0.917646,0.000000,0.000000,0.000000,0.000000,0.739611,0.622851,0.000000,0.000000,0.826542,0.000000,0.000000,0.608043,0.631558,0.784838,0.837338,0.851008,0.811876,0.000000,0.455269,0.000000,0.744087,0.903364,0.000000,0.000000,0.000000,0.593502,0.000000,0.000000,0.889581,0.000000,0.000000,0.517738,0.669379,0.497181,0.805666,0.000000,0.877749,0.865158,0.966810,0.000000,0.000000,0.000000,0.000000,0.400678,0.000000,0.000000,0.000000,0.000000,0.656090,0.813195,0.000000,0.000000,0.000000,0.088873,0.503656,0.808729,0.000000,0.000000,0.892638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.449514,0.000000,0.506350,0.000000,0.000000,0.752003,0.000000,0.388535,0.559349,0.000000,0.649954,0.000000,0.000000"
117,"0.729927,0.747125,0.781498,0.752847,0.000000,0.747794,0.397652,0.816508,0.738032,0.834431,0.781111,0.760847,0.704895,0.711455,0.894434,0.780003,0.670259,0.659949,0.632170,0.873166,0.775985,0.828101,0.847549,0.834133,0.896160,0.586190,0.723691,0.902729,0.722335,0.703461,0.000000,0.731807,0.888329,0.862351,0.553884,0.765643,0.823949,0.000000,0.657915,0.889581,0.869741,0.309925,0.666266,0.635185,0.813623,0.442960,0.877770,0.741507,0.739705,0.831308,0.832214,0.727136,0.795957,0.856351,0.808394,0.886988,0.828591,0.748393,0.809702,0.736676,0.833458,0.000000,0.000000,0.000000,0.720656,0.780195,0.514987,0.346316,0.197403,0.623301,0.568237,0.573167,0.844590,0.566239,0.860782,0.697034,0.587688,0.576718,0.643452,0.848603,0.629721,0.000000,0.745476,0.770774,0.816996,0.630688,0.849805,0.699052,0.000000,0.565983,0.837768"
30,"0.700061,0.713301,0.762704,0.743214,0.797690,0.893717,0.512417,0.903831,0.703057,0.529312,0.853562,0.716006,0.758692,0.704189,0.898728,0.845127,0.000000,0.000000,0.847108,0.852919,0.739608,0.788662,0.857198,0.934184,0.911324,0.804569,0.000000,0.805434,0.310285,0.800243,0.000000,0.650431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.640940,0.405956,0.701756,0.764239,0.711152,0.770398,0.000000,0.435042,0.851776,0.000000,0.000000,0.773709,0.689330,0.539467,0.665302,0.397326,0.765005,0.699504,0.000000,0.688813,0.000000,0.393664,0.611622,0.758055,0.533308,0.000000,0.931767,0.000000,0.000000,0.000000,0.491196,0.359904,0.500132,0.568700,0.480992,0.632744,0.000000,0.000000,0.437430,0.000000,0.361861,0.000000,0.314671,0.542517,0.696957,0.540410,0.660462,0.660624,0.852712,0.000000,0.649430,0.000000,0.000000"
158,"0.689626,0.494131,0.676490,0.443201,0.000000,0.732472,0.397652,0.000000,0.653239,0.619182,0.000000,0.000000,0.000000,0.000000,0.000000,0.625664,0.623022,0.000000,0.000000,0.529919,0.000000,0.492110,0.649722,0.000000,0.000000,0.650215,0.000000,0.000000,0.000000,0.388637,0.000000,0.393993,0.000000,0.482792,0.000000,0.000000,0.000000,0.000000,0.713249,0.000000,0.576192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.403348,0.653599,0.000000,0.000000,0.400325,0.739831,0.000000,0.490207,0.870962,0.964313,0.441424,0.000000,0.398564,0.000000,0.000000,0.895188,0.486997,0.000000,0.000000,0.000000,0.000000,0.292658,0.000000,0.479476,0.395763,0.590224,0.000000,0.669945,0.000000,0.527471,0.000000,0.547505,0.000000,0.674330,0.783722,0.000000,0.835032,0.000000,0.848041,0.000000,0.000000,0.000000"
65,"0.647561,0.715742,0.856889,0.864117,0.882536,0.866791,0.397652,0.780867,0.715530,0.750966,0.771945,0.565934,0.807068,0.921080,0.781712,0.629366,0.750012,0.719768,0.734665,0.710069,0.771504,0.793740,0.769481,0.000000,0.450079,0.502537,0.739406,0.310030,0.693173,0.435634,0.000000,0.555219,0.000000,0.322070,0.593499,0.000000,0.403377,0.909770,0.703808,0.535810,0.346842,0.769338,0.692386,0.748028,0.497470,0.596609,0.515351,0.841615,0.641110,0.516973,0.350567,0.724271,0.737462,0.000000,0.931555,0.594490,0.783855,0.927300,0.000000,0.656896,0.325876,0.713159,0.711264,0.000000,0.911000,0.000000,0.687485,0.000000,0.645028,0.671133,0.482929,0.751937,0.770846,0.500253,0.466467,0.515379,0.857664,0.890897,0.700837,0.765969,0.503949,0.000000,0.732899,0.000000,0.819303,0.934709,0.000000,0.671927,0.751449,0.804880,0.655702"
