NodeID,CogsnetVector
60,"12.731747,3.421814,1.392696,9.473159,0.644849,1.299703,2.901800,1.213206,9.808749,2.610504,4.992972,5.302270,4.703287,4.704759,0.857702,0.948600,0.000000,0.000000,0.000000,0.000000,0.000000,2.596097,5.784471,1.588052,0.401069,2.036067,1.216751,0.000000,1.862942,6.281001,0.000000,0.648130,1.699026,2.680096,0.780056,1.838908,0.964107,4.875968,2.811407,0.801870,7.164279,0.920097,0.880711,8.345650,5.932720,7.438992,0.000000,3.316380,1.148180,9.041965,3.350158,0.000000,2.414342,0.798649,3.907520,2.522391,7.028447,3.111637,2.708559,1.820996,0.000000,1.742611,0.000000,0.000000,0.000000,0.000000,0.000000,1.070046,0.810372,1.368655,1.816541,1.818878,1.361004,6.455227,0.000000,0.738169,1.668982,2.618265,7.164884,0.000000,4.264140,0.000000,8.539997,0.869049,0.000000,0.000000,0.000000,3.137529,0.649650,3.360123,0.000000"
57,"3.706792,5.057443,0.000000,4.252257,0.000000,4.601778,2.877656,6.021850,6.164111,1.843824,7.917746,0.869441,5.136612,4.068515,12.357393,4.932823,1.862517,0.940248,0.836405,8.180981,4.851648,10.642077,8.594028,0.912327,1.209705,10.884133,8.256556,3.542711,0.000000,14.141020,0.000000,4.089770,0.397249,2.248498,1.117290,1.191656,1.978457,0.854260,0.868559,0.000000,1.103592,0.000000,0.847398,1.458595,0.993187,1.148232,0.655999,3.301966,4.192135,2.940618,0.000000,1.431173,2.988562,2.621138,3.790776,2.904058,1.405196,4.487182,2.297980,0.701946,1.141070,1.432845,1.926159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.655455,0.000000,0.000000,5.188129,0.000000,0.889584,0.834223,0.632056,0.486337,0.492055,1.893591,0.692449,8.857520,0.000000,1.254103,0.708883,0.000000,0.000000,0.399422,1.422997,0.000000"
94,"3.996579,1.523713,1.763955,0.693219,0.000000,1.865016,0.397652,0.483405,0.568178,0.797932,10.402888,0.000000,0.658390,11.664804,5.434741,6.366811,0.000000,1.802465,1.088728,2.885233,0.729348,0.946398,0.415680,2.876913,6.385772,0.648748,0.794916,0.000000,0.000000,25.930023,0.000000,6.537756,1.745806,1.882002,0.000000,1.705505,0.691841,0.601225,0.860090,0.000000,1.038414,1.589515,0.000000,0.802839,0.997799,0.399107,1.312223,1.225378,3.906369,0.877056,0.000000,0.000000,0.802082,0.653723,0.000000,0.930686,0.894096,0.000000,0.000000,0.807483,0.403001,0.493029,0.000000,1.200161,0.952557,0.000000,0.920447,0.000000,0.438960,2.389868,0.636905,0.823419,0.970993,1.983531,0.000000,0.440619,0.374556,0.593959,0.000000,1.872026,2.552487,0.398521,9.993516,0.855325,1.874341,0.700120,0.000000,0.000000,0.364669,1.981963,2.585320"
77,"4.666167,2.759799,2.682070,4.974713,1.531908,1.591898,1.815972,2.677100,4.729424,2.527930,2.970508,1.852977,3.864377,4.087733,2.400228,4.912564,10.500687,1.363595,0.000000,5.128076,1.771652,2.580691,0.963338,0.829581,2.053727,1.296946,0.440310,0.779739,0.000000,4.101050,0.000000,5.681097,1.538703,0.876591,1.224558,0.804571,3.433629,0.000000,0.889704,0.000000,0.821306,0.845519,2.051444,0.000000,0.556413,1.245369,0.000000,0.000000,2.437939,0.446916,0.000000,1.068540,4.141579,0.000000,5.179377,4.281913,4.020208,0.000000,0.000000,8.035430,1.274393,4.370093,9.333982,1.828695,3.722277,0.000000,0.000000,0.603969,8.847813,4.632875,0.838001,0.834174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.551812,0.000000,3.440424,1.717150,3.964854,1.792805,2.599385,1.959691,5.316723,1.561946,0.649525,5.876946,2.633267"
162,"2.343641,3.511528,2.729286,4.909129,2.563163,0.862335,1.233221,2.656558,1.949440,2.515540,4.618976,0.000000,0.813859,2.207753,2.182928,2.158007,1.501614,0.000000,0.000000,2.584580,1.562010,3.078595,0.435547,0.000000,0.824563,0.650014,0.000000,0.000000,0.966621,1.990839,0.000000,2.872811,0.000000,1.096449,0.837011,0.908153,1.282601,0.429485,0.000000,0.000000,2.778062,0.000000,1.291511,0.000000,0.000000,0.449914,0.000000,0.263133,2.159590,1.363407,1.205433,0.000000,1.947807,0.000000,2.279227,0.699504,2.323382,2.594187,0.000000,2.003278,0.405255,0.737902,2.948836,0.000000,0.975644,1.435008,2.099652,1.421391,2.511012,0.000000,1.905775,0.446231,1.032040,1.134923,0.000000,0.000000,0.000000,2.043628,0.629573,0.702008,0.867976,0.000000,0.936333,0.894609,0.916280,0.889666,0.870802,0.878253,0.399422,0.847898,0.000000"
142,"0.687504,1.923454,0.000000,0.693395,0.000000,0.743156,0.397652,2.761768,0.568178,0.618900,0.917646,0.000000,0.000000,0.000000,0.000000,0.739611,1.868554,0.000000,0.000000,0.826542,0.000000,0.000000,1.824128,0.631558,0.784838,0.837338,0.851008,1.623752,0.000000,1.365807,0.000000,1.488173,0.903364,0.000000,0.000000,0.000000,2.967510,0.000000,0.000000,0.889581,0.000000,0.000000,1.553214,2.008137,0.497181,0.805666,0.000000,0.877749,0.865158,0.966810,0.000000,0.000000,0.000000,0.000000,1.202035,0.000000,0.000000,0.000000,0.000000,0.656090,0.813195,0.000000,0.000000,0.000000,0.444366,2.014622,0.808729,0.000000,0.000000,0.892638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.348541,0.000000,1.519050,0.000000,0.000000,0.752003,0.000000,1.165606,0.559349,0.000000,0.649954,0.000000,0.000000"
117,"3.649636,3.735625,1.562996,2.258541,0.000000,6.730146,0.397652,9.798100,5.166225,2.503293,8.592223,0.760847,2.819582,6.403095,5.366605,4.680018,0.670259,1.319897,2.528680,6.112164,6.207879,7.452910,7.627940,4.170664,5.376961,19.344257,4.342145,1.805457,1.444671,17.586535,0.000000,22.686016,1.776657,3.449404,0.553884,4.593855,2.471848,0.000000,3.947488,0.889581,0.869741,0.309925,1.332532,5.716664,1.627246,14.174717,1.755540,4.449040,5.177933,6.650460,0.832214,0.727136,3.979785,1.712702,5.658757,1.773975,3.314364,2.245178,0.809702,2.210028,2.500374,0.000000,0.000000,0.000000,0.720656,1.560391,1.544961,4.502105,0.394805,2.493202,1.704712,2.865837,0.844590,3.397433,0.860782,2.788136,1.175375,4.037027,3.860713,1.697207,1.889163,0.000000,4.472857,4.624646,1.633991,6.306877,1.699609,2.097157,0.000000,3.395901,1.675536"
30,"2.100183,8.559618,1.525409,4.459281,0.797690,0.893717,1.024835,0.903831,4.921397,1.058624,3.414249,6.444056,3.034769,2.112566,3.594914,5.070760,0.000000,0.000000,0.847108,1.705839,6.656470,6.309299,1.714396,0.934184,1.822647,1.609138,0.000000,0.805434,0.930854,4.801458,0.000000,9.756470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.640940,0.405956,2.105267,6.878153,2.133455,1.540797,0.000000,4.785457,0.851776,0.000000,0.000000,2.321127,0.689330,4.855200,7.983619,0.397326,1.530009,0.699504,0.000000,0.688813,0.000000,0.787328,1.834866,6.822496,1.599923,0.000000,0.931767,0.000000,0.000000,0.000000,0.982391,0.719809,5.501454,5.687004,0.480992,1.898232,0.000000,0.000000,0.437430,0.000000,0.723723,0.000000,0.314671,0.542517,7.666531,1.621228,1.320923,1.981872,0.852712,0.000000,0.649430,0.000000,0.000000"
158,"3.448131,0.494131,0.676490,0.443201,0.000000,1.464943,0.397652,0.000000,1.306479,1.857545,0.000000,0.000000,0.000000,0.000000,0.000000,1.251327,0.623022,0.000000,0.000000,2.119678,0.000000,0.492110,0.649722,0.000000,0.000000,0.650215,0.000000,0.000000,0.000000,2.331825,0.000000,0.393993,0.000000,0.482792,0.000000,0.000000,0.000000,0.000000,0.713249,0.000000,2.880959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.613393,1.960797,0.000000,0.000000,0.400325,0.739831,0.000000,1.470621,3.483847,0.964313,1.765697,0.000000,0.398564,0.000000,0.000000,0.895188,0.486997,0.000000,0.000000,0.000000,0.000000,0.877974,0.000000,0.479476,0.395763,0.590224,0.000000,0.669945,0.000000,1.582413,0.000000,3.285027,0.000000,0.674330,2.351166,0.000000,2.505097,0.000000,2.544122,0.000000,0.000000,0.000000"
65,"5.828052,7.873163,3.427558,4.320583,0.882536,3.467164,0.397652,1.561735,2.862118,3.754828,10.035280,0.565934,3.228274,1.842160,7.035405,3.146827,1.500023,1.439535,1.469330,5.680555,6.172032,3.968698,1.538963,0.000000,0.450079,2.010149,0.739406,0.310030,0.693173,2.613803,0.000000,3.331312,0.000000,0.966210,1.186998,0.000000,2.016883,0.909770,1.407616,0.535810,2.081053,0.769338,1.384772,2.244085,0.497470,2.983047,1.546054,2.524844,4.487771,4.652753,1.051701,1.448542,4.424773,0.000000,3.726219,1.188979,3.135419,1.854600,0.000000,5.255172,1.303506,3.565797,0.711264,0.000000,0.911000,0.000000,1.374971,0.000000,1.290055,1.342267,2.897577,3.759686,2.312537,8.004054,0.466467,2.061514,0.857664,0.890897,2.803346,0.765969,3.023691,0.000000,4.397396,0.000000,1.638606,0.934709,0.000000,4.031565,4.508692,4.024400,3.278509"
